Country	Installation ID	Year	NER allocation
GR	113	 2018 	1719 
GR	113	 2019 	1686 
GR	113	 2020 	1654 
DE	4163	 2013 	40533 
DE	4163	 2014 	36273 
DE	4163	 2015 	32135 
DE	4163	 2016 	28126 
DE	4163	 2017 	24245 
DE	4163	 2018 	20488 
DE	4163	 2019 	16854 
DE	4163	 2020 	13349 
DE	4158	 2013 	538 
DE	4158	 2014 	1310 
DE	4158	 2015 	1161 
DE	4158	 2016 	1017 
DE	4158	 2017 	876 
DE	4158	 2018 	741 
IT	1243	 2013 	5687 
DE	4158	 2019 	610 
IT	1243	 2014 	5174 
IT	1243	 2015 	4584 
DE	4158	 2020 	483 
IT	1243	 2016 	4012 
IT	1243	 2017 	3458 
IT	1243	 2018 	2922 
IT	1243	 2019 	2404 
IT	1243	 2020 	1904 
DE	4164	 2013 	16634 
DE	4164	 2014 	18502 
DE	4164	 2015 	18901 
DE	4164	 2016 	18560 
DE	4164	 2017 	18220 
DE	4164	 2018 	17879 
DE	4164	 2019 	17538 
DE	4164	 2020 	17197 
DE	4167	 2013 	12235 
DE	4167	 2014 	12023 
DE	4167	 2015 	7761 
DE	4167	 2016 	6792 
DE	4167	 2017 	5856 
DE	4167	 2018 	4948 
DE	4167	 2019 	4070 
DE	4167	 2020 	3224 
DE	4168	 2013 	4653 
DE	4168	 2014 	4574 
DE	4168	 2015 	4494 
DE	4168	 2016 	4412 
DE	4168	 2017 	4332 
DE	4168	 2018 	4250 
DE	4168	 2019 	4170 
DE	4168	 2020 	4088 
GR	159	 2013 	18656 
GR	159	 2014 	18331 
GR	159	 2015 	9004 
BE	31	 2013 	561 
BE	31	 2014 	551 
BE	31	 2015 	541 
BE	31	 2016 	532 
BE	31	 2017 	522 
BE	31	 2018 	512 
BE	31	 2019 	502 
BE	31	 2020 	493 
AT	24	 2013 	36287 
AT	24	 2014 	35656 
AT	24	 2015 	35024 
AT	24	 2016 	34393 
AT	24	 2017 	33761 
AT	24	 2018 	33130 
AT	24	 2019 	32499 
AT	24	 2020 	31867 
LV	49	 2013 	875 
LV	49	 2014 	4684 
LV	49	 2015 	4149 
LV	49	 2016 	3632 
LV	49	 2017 	3130 
LV	49	 2018 	2645 
LV	49	 2019 	2176 
LV	49	 2020 	1724 
BE	32	 2013 	9076 
BE	32	 2014 	8918 
BE	32	 2015 	8760 
BE	32	 2016 	8602 
BE	32	 2017 	8445 
BE	32	 2018 	8287 
DE	4171	 2013 	697 
BE	32	 2019 	8129 
BE	32	 2020 	7971 
DE	4171	 2014 	624 
DE	4171	 2015 	553 
DE	4171	 2016 	484 
DE	4171	 2017 	417 
DE	4171	 2018 	353 
DE	4171	 2019 	291 
DE	4171	 2020 	231 
BE	33	 2013 	5081 
BE	33	 2014 	7438 
BE	33	 2015 	7307 
BE	33	 2016 	7175 
BE	33	 2017 	7043 
BE	33	 2018 	6911 
BE	33	 2019 	6780 
BE	33	 2020 	6648 
AT	17	 2013 	64032 
AT	17	 2014 	65057 
AT	17	 2015 	63905 
AT	17	 2016 	62753 
AT	17	 2017 	61601 
AT	17	 2018 	60449 
AT	17	 2019 	59297 
AT	17	 2020 	58145 
CZ	273	 2014 	33530 
CZ	273	 2015 	43716 
CZ	273	 2016 	42928 
CZ	273	 2017 	42140 
CZ	273	 2018 	41352 
CZ	273	 2019 	40564 
CZ	273	 2020 	39775 
IT	476	 2013 	8617 
IT	476	 2014 	1928 
LV	61	 2013 	1603 
LV	61	 2014 	1575 
LV	61	 2015 	1548 
LV	61	 2016 	1519 
LV	61	 2017 	1491 
LV	61	 2018 	1464 
LV	61	 2019 	1436 
LV	61	 2020 	1408 
LV	65	 2013 	74103 
LV	65	 2014 	36407 
DE	604	 2013 	24329 
DE	604	 2014 	23907 
DE	604	 2015 	23483 
DE	604	 2016 	23060 
DE	604	 2017 	22637 
DE	604	 2018 	22213 
DE	604	 2019 	21790 
DE	604	 2020 	21367 
CZ	295	 2014 	7092 
CZ	295	 2015 	6283 
CZ	295	 2016 	5499 
CZ	295	 2017 	4740 
CZ	295	 2018 	4006 
CZ	295	 2019 	3295 
CZ	295	 2020 	2610 
HU	161	 2013 	1996 
HU	161	 2014 	4204 
HU	161	 2015 	4613 
HU	161	 2016 	4530 
HU	161	 2017 	4448 
HU	161	 2018 	4364 
HU	161	 2019 	4281 
HU	161	 2020 	4198 
GR	89	 2013 	1021153 
GR	89	 2014 	1406433 
GR	89	 2015 	1460892 
GR	89	 2016 	1434556 
GR	89	 2017 	1408220 
GR	89	 2018 	1381884 
GR	89	 2019 	1355548 
GR	89	 2020 	1329211 
BE	63	 2013 	10280 
BE	63	 2014 	10101 
BE	63	 2015 	9922 
BE	63	 2016 	9743 
BE	63	 2017 	9565 
BE	63	 2018 	9386 
BE	63	 2019 	9207 
BE	63	 2020 	9028 
IT	841	 2013 	6292 
IT	841	 2014 	6183 
IT	841	 2015 	6073 
IT	841	 2016 	5964 
IT	841	 2017 	5854 
IT	841	 2018 	5745 
IT	841	 2019 	5635 
IT	841	 2020 	5526 
IE	103	 2013 	10566 
IE	103	 2014 	9456 
IE	103	 2015 	12748 
IE	103	 2016 	12519 
IE	103	 2017 	12289 
IE	103	 2018 	12059 
IE	103	 2019 	11829 
LV	99	 2013 	2990 
IE	103	 2020 	11599 
LV	99	 2014 	2676 
LV	99	 2015 	2371 
LV	99	 2016 	2075 
LV	99	 2017 	1789 
LV	99	 2018 	1512 
LV	99	 2019 	1243 
LV	99	 2020 	985 
CZ	2	 2013 	20958 
CZ	2	 2014 	23417 
CZ	2	 2015 	23002 
CZ	2	 2016 	22587 
CZ	2	 2017 	22172 
CZ	2	 2018 	21758 
CZ	2	 2019 	21343 
CZ	2	 2020 	20929 
GR	14	 2013 	47797 
GR	14	 2014 	42773 
GR	14	 2015 	37893 
GR	14	 2016 	33167 
GR	14	 2017 	28589 
GR	14	 2018 	24159 
LV	103	 2013 	10965 
GR	14	 2019 	19873 
LV	103	 2014 	9812 
GR	14	 2020 	15741 
LV	103	 2015 	8693 
LV	103	 2016 	7609 
LV	103	 2017 	6558 
LV	103	 2018 	5542 
LV	103	 2019 	4559 
LV	103	 2020 	3611 
DK	231	 2013 	3191 
DK	231	 2014 	11329 
DK	231	 2015 	10036 
DK	231	 2016 	8784 
DK	231	 2017 	7572 
DK	231	 2018 	6399 
DK	231	 2019 	5263 
DK	231	 2020 	4169 
LV	107	 2013 	250 
LV	107	 2014 	223 
LV	107	 2015 	198 
LV	107	 2016 	173 
LV	107	 2017 	149 
LV	107	 2018 	126 
LV	107	 2019 	104 
LV	107	 2020 	82 
GR	201547	 2013 	41309 
GR	201547	 2014 	36967 
GR	201547	 2015 	32750 
GR	201547	 2016 	28665 
GR	201547	 2017 	24708 
GR	201547	 2018 	20880 
GR	201547	 2019 	17176 
GR	201547	 2020 	13604 
GR	203018	 2013 	785 
GR	203018	 2014 	771 
GR	203018	 2015 	758 
GR	203018	 2016 	744 
GR	203018	 2017 	730 
GR	203018	 2018 	717 
GR	203018	 2019 	703 
GR	203018	 2020 	689 
LV	206234	 2013 	6314 
LV	206234	 2014 	36930 
LV	206234	 2015 	32716 
LV	206234	 2016 	28636 
LV	206234	 2017 	24683 
LV	206234	 2018 	20859 
LV	206234	 2019 	17158 
LV	206234	 2020 	13590 
AT	203	 2013 	1296 
AT	203	 2014 	1160 
AT	203	 2015 	1027 
AT	203	 2016 	899 
AT	203	 2017 	775 
AT	203	 2018 	655 
AT	203	 2019 	539 
AT	203	 2020 	427 
AT	172	 2014 	20508 
AT	172	 2015 	20145 
AT	172	 2016 	19782 
AT	172	 2017 	19418 
AT	172	 2018 	19055 
AT	172	 2019 	18692 
AT	172	 2020 	18329 
IE	130	 2013 	31653 
IE	130	 2014 	31102 
IE	130	 2015 	30552 
IE	130	 2016 	30001 
IE	130	 2017 	29450 
IE	130	 2018 	28899 
IE	130	 2019 	28348 
IE	130	 2020 	27798 
FI	307	 2013 	18666 
FI	307	 2014 	17127 
FI	307	 2015 	15173 
FI	307	 2016 	13280 
FI	307	 2017 	11447 
FI	307	 2018 	9674 
FI	307	 2019 	7957 
FI	307	 2020 	6303 
GR	205542	 2013 	7498 
GR	205542	 2014 	7368 
GR	205542	 2015 	7237 
GR	205542	 2016 	7107 
GR	205542	 2017 	6976 
GR	205542	 2018 	6846 
GR	205542	 2019 	6715 
GR	205542	 2020 	6585 
LT	12	 2014 	1854 
LT	12	 2015 	2878 
LT	12	 2016 	2826 
LT	12	 2017 	2774 
LT	12	 2018 	2723 
LT	12	 2019 	2671 
LT	12	 2020 	2619 
LT	18	 2013 	10466 
LT	18	 2014 	9366 
LT	18	 2015 	8298 
LT	18	 2016 	7263 
LT	18	 2017 	6260 
LT	18	 2018 	5290 
LT	18	 2019 	4352 
LT	18	 2020 	3447 
GR	206233	 2013 	7602 
GR	206233	 2014 	13495 
GR	206233	 2015 	5978 
GR	206233	 2016 	10464 
GR	206233	 2017 	9020 
GR	206233	 2018 	7622 
GR	206233	 2019 	6270 
GR	206233	 2020 	4966 
DE	908	 2013 	29976 
DE	908	 2014 	29455 
DE	908	 2015 	28933 
DE	908	 2016 	28412 
DE	908	 2017 	27890 
DE	908	 2018 	27369 
DE	908	 2019 	26847 
DE	908	 2020 	26325 
AT	204	 2013 	6689 
AT	204	 2014 	18362 
AT	204	 2015 	18036 
AT	204	 2016 	17712 
AT	204	 2017 	17387 
AT	204	 2018 	17061 
AT	204	 2019 	16736 
AT	204	 2020 	16411 
CZ	335	 2013 	4715 
CZ	335	 2014 	7067 
CZ	335	 2015 	6942 
CZ	335	 2016 	6816 
CZ	335	 2017 	6691 
CZ	335	 2018 	6566 
CZ	335	 2019 	6441 
CZ	335	 2020 	6316 
HU	249	 2014 	2538 
HU	249	 2015 	2653 
HU	249	 2016 	2606 
HU	249	 2017 	2558 
HU	249	 2018 	2510 
HU	249	 2019 	2462 
HU	249	 2020 	2414 
LU	205996	 2013 	20589 
LU	205996	 2014 	20231 
LU	205996	 2015 	19873 
LU	205996	 2016 	19514 
LU	205996	 2017 	19156 
LU	205996	 2018 	18798 
LU	205996	 2019 	18440 
LU	205996	 2020 	18081 
HU	253	 2013 	15989 
HU	253	 2014 	15711 
HU	253	 2015 	15433 
HU	253	 2016 	15154 
HU	253	 2017 	14876 
HU	253	 2018 	14598 
HU	253	 2019 	14320 
HU	253	 2020 	14042 
DE	920	 2013 	2305 
DE	920	 2014 	2234 
DE	920	 2015 	1979 
DE	920	 2016 	1732 
DE	920	 2017 	1494 
DE	920	 2018 	1262 
DE	920	 2019 	1039 
DE	920	 2020 	822 
DK	317	 2014 	1383 
DK	317	 2015 	1462 
DK	317	 2016 	1280 
DK	317	 2017 	1103 
DK	317	 2018 	932 
DK	317	 2019 	767 
DK	317	 2020 	607 
AT	201648	 2013 	6678 
AT	201648	 2014 	5977 
AT	201648	 2015 	5295 
AT	201648	 2016 	4634 
AT	201648	 2017 	3995 
AT	201648	 2018 	3376 
AT	201648	 2019 	2777 
AT	201648	 2020 	2199 
DE	629	 2014 	9813 
DE	629	 2015 	10081 
DE	629	 2016 	9899 
DE	629	 2017 	9718 
DE	629	 2018 	9536 
DE	629	 2019 	9354 
DE	629	 2020 	9172 
AT	201866	 2014 	4489 
AT	201866	 2015 	13529 
AT	201866	 2016 	13452 
AT	201866	 2017 	13205 
AT	201866	 2018 	12959 
AT	201866	 2019 	12712 
AT	201866	 2020 	12464 
AT	201868	 2015 	1892 
AT	201868	 2016 	2074 
AT	201868	 2017 	2036 
AT	201868	 2018 	1998 
AT	201868	 2019 	1960 
AT	201868	 2020 	1922 
HU	1006	 2013 	3231 
AT	202778	 2013 	8805 
HU	1006	 2014 	2892 
AT	202778	 2014 	8652 
HU	1006	 2015 	2562 
AT	202778	 2015 	8498 
HU	1006	 2016 	2242 
AT	202778	 2016 	8346 
HU	1006	 2017 	1933 
AT	202778	 2017 	8193 
HU	1006	 2018 	1633 
AT	202778	 2018 	8039 
HU	1006	 2019 	1343 
AT	202778	 2019 	7886 
HU	1006	 2020 	1064 
AT	202778	 2020 	7732 
IE	205865	 2014 	10732 
IE	205865	 2015 	6134 
IE	205865	 2016 	6023 
IE	205865	 2017 	5913 
IE	205865	 2018 	5802 
IE	205865	 2019 	5692 
IE	205865	 2020 	5581 
DK	304	 2013 	4921 
DK	304	 2014 	4416 
DK	304	 2015 	3912 
DK	304	 2016 	3424 
DK	304	 2017 	2951 
DK	304	 2018 	2494 
DK	304	 2019 	2052 
DK	304	 2020 	1625 
DE	113	 2013 	32548 
DE	113	 2014 	31982 
DE	113	 2015 	31416 
DE	113	 2016 	30849 
DE	113	 2017 	30283 
DE	113	 2018 	29717 
DE	113	 2019 	29150 
DE	113	 2020 	28584 
HU	201649	 2013 	8123 
HU	201649	 2014 	7269 
HU	201649	 2015 	9801 
HU	201649	 2016 	9624 
HU	201649	 2017 	9447 
HU	201649	 2018 	9271 
HU	201649	 2019 	9094 
HU	201649	 2020 	8917 
AT	205911	 2013 	585 
AT	205911	 2014 	718 
AT	205911	 2015 	706 
AT	205911	 2016 	693 
AT	205911	 2017 	680 
AT	205911	 2018 	667 
AT	205911	 2019 	655 
AT	205911	 2020 	642 
HU	201935	 2013 	75151 
HU	201935	 2014 	71722 
HU	201935	 2015 	68366 
HU	201935	 2016 	65087 
HU	201935	 2017 	61883 
HU	201935	 2018 	58754 
HU	201935	 2019 	55699 
HU	201935	 2020 	52721 
AT	206124	 2013 	561 
AT	206124	 2014 	551 
AT	206124	 2015 	541 
AT	206124	 2016 	532 
AT	206124	 2017 	522 
AT	206124	 2018 	512 
AT	206124	 2019 	502 
AT	206124	 2020 	493 
HU	205815	 2013 	59616 
HU	205815	 2014 	58579 
HU	205815	 2015 	57542 
HU	205815	 2016 	56504 
HU	205815	 2017 	55467 
HU	205815	 2018 	54429 
HU	205815	 2019 	53392 
HU	205815	 2020 	52355 
HU	206134	 2014 	13162 
HU	206134	 2015 	12929 
HU	206134	 2016 	12696 
HU	206134	 2017 	12463 
HU	206134	 2018 	12230 
HU	206134	 2019 	11997 
HU	206134	 2020 	11763 
PL	938	 2013 	141 
PL	938	 2014 	827 
PL	938	 2015 	813 
PL	938	 2016 	798 
PL	938	 2017 	783 
PL	938	 2018 	769 
PL	938	 2019 	754 
PL	938	 2020 	739 
BE	210	 2013 	12400 
BE	210	 2014 	12184 
BE	210	 2015 	11969 
BE	210	 2016 	11753 
BE	210	 2017 	11537 
BE	210	 2018 	11321 
BE	210	 2019 	11105 
BE	210	 2020 	10890 
LT	205529	 2013 	16862 
LT	205529	 2014 	28554 
LT	205529	 2015 	28049 
LT	205529	 2016 	27543 
LT	205529	 2017 	27037 
LT	205529	 2018 	26532 
LT	205529	 2019 	26026 
LT	205529	 2020 	25520 
PL	524	 2013 	24755 ****
PL	524	 2014 	22884 ****
PL	524	 2015 	40184 
PL	524	 2016 	35172 
PL	524	 2017 	30318 
PL	524	 2018 	25620 
LT	206274	 2013 	79 
PL	524	 2019 	21075 
PL	524	 2020 	16693 
LT	206274	 2014 	673 
LT	206274	 2015 	661 
LT	206274	 2016 	649 
LT	206274	 2017 	637 
LT	206274	 2018 	625 
LT	206274	 2019 	613 
LT	206274	 2020 	602 
LT	206978	 2014 	6032 
LT	206978	 2015 	47571 
LT	206978	 2016 	41638 
LT	206978	 2017 	35891 
LT	206978	 2018 	30330 
LT	206978	 2019 	24949 
LT	206978	 2020 	19761 
CZ	372	 2014 	14108 
CZ	372	 2015 	21897 
CZ	372	 2016 	21503 
CZ	372	 2017 	21108 
CZ	372	 2018 	20713 
CZ	372	 2019 	20318 
CZ	372	 2020 	19924 
CZ	96	 2013 	50 
CZ	96	 2014 	44 
CZ	96	 2015 	39 
CZ	96	 2016 	34 
CZ	96	 2017 	30 
CZ	96	 2018 	25 
CZ	96	 2019 	21 
CZ	96	 2020 	16 
NL	411	 2013 	40034 
NL	411	 2014 	38171 
NL	411	 2015 	36347 
NL	411	 2016 	34566 
NL	411	 2017 	32826 
NL	411	 2018 	31128 
NL	411	 2019 	29470 
NL	411	 2020 	27854 
RO	26	 2014 	69699 
RO	26	 2015 	137305 
RO	26	 2016 	134830 
RO	26	 2017 	132355 
RO	26	 2018 	129880 
RO	26	 2019 	127404 
RO	26	 2020 	124929 
PL	945	 2013 	2063 
PL	945	 2014 	6064 
PL	945	 2015 	5956 
PL	945	 2016 	5849 
PL	945	 2017 	5741 
PL	945	 2018 	5634 
PL	945	 2019 	5527 
PL	945	 2020 	5419 
IT	1238	 2013 	3140 
IT	1238	 2014 	2810 
IT	1238	 2015 	2489 
IT	1238	 2016 	2179 
IT	1238	 2017 	1878 
IT	1238	 2018 	1587 
IT	1238	 2019 	1306 
IT	1238	 2020 	1034 
RO	31	 2013 	9420 
RO	31	 2014 	8430 
RO	31	 2015 	7468 
RO	31	 2016 	6537 
RO	31	 2017 	5634 
RO	31	 2018 	4761 
RO	31	 2019 	3917 
RO	31	 2020 	3102 
FI	595	 2013 	847 
FI	595	 2014 	758 
FI	595	 2015 	672 
FI	595	 2016 	588 
FI	595	 2017 	507 
FI	595	 2018 	428 
FI	595	 2019 	352 
FI	595	 2020 	279 
IT	1102	 2013 	1346 
IT	1102	 2014 	1204 
IT	1102	 2015 	1067 
IT	1102	 2016 	934 
IT	1102	 2017 	805 
IT	1102	 2018 	680 
IT	1102	 2019 	559 
IT	1102	 2020 	443 
FI	600	 2013 	9781 
FI	600	 2014 	9611 
FI	600	 2015 	9441 
FI	600	 2016 	9270 
FI	600	 2017 	9100 
FI	600	 2018 	8930 
FI	600	 2019 	8760 
FI	600	 2020 	8590 
PL	952	 2013 	3033 
PL	952	 2014 	2980 
PL	952	 2015 	2927 
PL	952	 2016 	2875 
PL	952	 2017 	2822 
PL	952	 2018 	2769 
PL	952	 2019 	2716 
PL	952	 2020 	2664 
CZ	389	 2013 	2592 
CZ	389	 2014 	2320 
CZ	389	 2015 	2055 
CZ	389	 2016 	1799 
CZ	389	 2017 	1550 
CZ	389	 2018 	1310 
CZ	389	 2019 	1078 
CZ	389	 2020 	854 
PL	954	 2014 	3010 
PL	954	 2015 	2958 
PL	954	 2016 	2904 
PL	954	 2017 	2851 
PL	954	 2018 	2797 
PL	954	 2019 	2745 
PL	954	 2020 	2691 
FI	610	 2013 	70371 
FI	610	 2014 	69147 
FI	610	 2015 	67922 
FI	610	 2016 	66698 
FI	610	 2017 	65473 
FI	610	 2018 	64249 
FI	610	 2019 	63024 
FI	610	 2020 	61800 
DE	131	 2013 	77047 
DE	131	 2014 	75707 
DE	131	 2015 	74366 
DE	131	 2016 	73026 
DE	131	 2017 	71685 
DE	131	 2018 	70344 
DE	131	 2019 	69004 
DE	131	 2020 	67663 
DK	360	 2013 	2941 
DK	360	 2014 	2632 
DK	360	 2015 	2331 
DK	360	 2016 	2041 
DK	360	 2017 	1759 
DK	360	 2018 	1486 
DK	360	 2019 	1223 
DK	360	 2020 	968 
FI	628	 2013 	3489 
FI	628	 2014 	3428 
FI	628	 2015 	3368 
FI	628	 2016 	3307 
FI	628	 2017 	3246 
FI	628	 2018 	3185 
FI	628	 2019 	3125 
FI	628	 2020 	3064 
BE	202970	 2013 	19118 
BE	202970	 2014 	18786 
BE	202970	 2015 	18452 
BE	202970	 2016 	18120 
BE	202970	 2017 	17788 
BE	202970	 2018 	17455 
BE	202970	 2019 	17122 
BE	202970	 2020 	16789 
PL	252	 2013 	17494 
PL	252	 2014 	15655 
PL	252	 2015 	13869 
PL	252	 2016 	12139 
PL	252	 2017 	10463 
PL	252	 2018 	8842 
PL	252	 2019 	7274 
PL	252	 2020 	5761 
BE	203795	 2013 	798 
BE	203795	 2014 	714 
BE	203795	 2015 	632 
BE	203795	 2016 	553 
BE	203795	 2017 	477 
BE	203795	 2018 	403 
BE	203795	 2019 	332 
BE	203795	 2020 	263 
DE	654	 2014 	750 
DE	654	 2015 	4016 
DE	654	 2016 	3569 
DE	654	 2017 	3136 
DE	654	 2018 	2717 
DE	654	 2019 	2311 
DE	654	 2020 	1919 
DE	140	 2013 	52064 
DE	140	 2014 	51159 
DE	140	 2015 	50253 
DE	140	 2016 	49347 
DE	140	 2017 	48441 
DE	140	 2018 	47535 
DE	140	 2019 	46629 
DE	140	 2020 	45723 
RO	96	 2013 	32198 
RO	96	 2014 	35057 
RO	96	 2015 	31057 
RO	96	 2016 	27183 
RO	96	 2017 	23431 
RO	96	 2018 	19801 
RO	96	 2019 	16288 
RO	96	 2020 	12901 
BE	203913	 2014 	189690 
BE	203913	 2015 	222258 
BE	203913	 2016 	218251 
BE	203913	 2017 	214244 
BE	203913	 2018 	210237 
BE	203913	 2019 	206231 
BE	203913	 2020 	202224 
CZ	148	 2013 	25905 
CZ	148	 2014 	25454 
CZ	148	 2015 	25004 
CZ	148	 2016 	24553 
CZ	148	 2017 	24102 
CZ	148	 2018 	23651 
CZ	148	 2019 	23201 
CZ	148	 2020 	22750 
FI	662	 2013 	8174 
FI	662	 2014 	7315 
FI	662	 2015 	6480 
FI	662	 2016 	5672 
FI	662	 2017 	4889 
